;Высшее;Неполное высшее;Среднее;Среднее полное;Основное;Начальное;Дошкольное;Не имеющие образования
Все население в возрасте 6 лет и более;231;25;361;160;91;78;46;8
6-7;-;-;-;-;-;-;927;73
8-9;-;-;-;-;-;-;945;55
10-14;-;-;-;-;73;899;-;28
15-17;-;-;2;238;605;145;-;10
18-19;-;144;187;517;139;7;-;6
20-24;239;142;350;210;51;4;-;4
25-29;409;44;362;132;46;4;-;3
30-34;401;31;372;139;49;5;-;3
35-39;357;22;403;152;59;4;-;3
40-44;315;17;456;158;49;3;-;2
45-49;282;16;500;161;36;3;-;2
50-54;243;13;513;188;38;3;-;2
55-59;215;11;511;206;52;4;-;1
60-64;201;10;485;209;86;8;-;1
65-69;205;10;448;195;123;18;-;1
70+;137;7;278;146;232;191;-;9
