Вид экономической деятельности;2024г;;;;;;;;;;;;;;;;;;;;;
Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;3845;;;;;;;;;;;;;;;;;;;;;
Добыча полезных ископаемых;1830;;;;;;;;;;;;;;;;;;;;;
Обрабатывающие производства;10512;;;;;;;;;;;;;;;;;;;;;
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";1855;;;;;;;;;;;;;;;;;;;;;
"Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений";563;;;;;;;;;;;;;;;;;;;;;
Строительство;4979;;;;;;;;;;;;;;;;;;;;;
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов";11247;;;;;;;;;;;;;;;;;;;;;
Транспортировка и хранение;6428;;;;;;;;;;;;;;;;;;;;;
Деятельность гостиниц и предприятий общественного питания ;2027;;;;;;;;;;;;;;;;;;;;;
Деятельность в области информации и связи;1534;;;;;;;;;;;;;;;;;;;;;
Деятельность финансовая и страховая;1602;;;;;;;;;;;;;;;;;;;;;
Деятельность по операциям с недвижимым имуществом;1195;;;;;;;;;;;;;;;;;;;;;
"Деятельность профессиональная, научная и техническая; деятельность административная и сопутствующие дополнительные услуги";4712;;;;;;;;;;;;;;;;;;;;;
"Государственное управление и обеспечение военной безопасности; социальное обеспечение";5025;;;;;;;;;;;;;;;;;;;;;
Образование;7366;;;;;;;;;;;;;;;;;;;;;
Деятельность в области здравоохранения и социальных услуг;6101;;;;;;;;;;;;;;;;;;;;;
Деятельность в области культуры, спорта, организации досуга и развлечений;1576;;;;;;;;;;;;;;;;;;;;;
Предоставление прочих видов услуг;2416;;;;;;;;;;;;;;;;;;;;;
Другие виды экономической деятельности;22;;;;;;;;;;;;;;;;;;;;;
